ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
RAND,RAND.AS,RANDSTAD HOLDING,Industries,0.02063,Pays-Bas,Euronext Amsterdam,EUR
LIGHT,LIGHT.AS,SIGNIFY NV,Industries,0.02055,Pays-Bas,Euronext Amsterdam,EUR
SWEC B,SWEC-B.ST,SWECO CLASS B,Industries,0.02053,Suède,Nasdaq Omx Nordic,SEK
SUN,SUN.SW,SULZER AG,Industries,0.02037,Suisse,SIX Swiss Exchange,CHF
FDJU,FDJU.PA,FDJ UNITED,Biens de consommation cycliques,0.02032,France,Nyse Euronext - Euronext Paris,EUR
ZEAL,ZEAL.CO,ZEALAND PHARMA,Santé,0.02028,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
ARCAD,ARCAD.AS,ARCADIS NV,Industries,0.02011,Pays-Bas,Euronext Amsterdam,EUR
BC8,BC8.DE,BECHTLE AG,Technologie de l'information,0.02008,Allemagne,Xetra,EUR
IVG,IVG.MI,IVECO GROUP NV,Industries,0.01973,Italie,Borsa Italiana,EUR
VIS,VIS.MC,VISCOFAN SA,Biens de consommation de base,0.01973,Espagne,Bolsa De Madrid,EUR
HIK,HIK.L,HIKMA PHARMACEUTICALS PLC,Santé,0.01941,Royaume-Uni,London Stock Exchange,GBP
TOM,TOM.OL,TOMRA SYSTEMS,Industries,0.0193,Norvège,Oslo Bors Asa,NOK
SBNOR,SBNOR.OL,SPAREBANKEN NORGE,Finance,0.0192,Norvège,Oslo Bors Asa,NOK
VPK,VPK.AS,KONINKLIJKE VOPAK NV,Energie,0.01915,Pays-Bas,Euronext Amsterdam,EUR
MANTA,MANTA.HE,MANDATUM,Finance,0.01915,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
RBREW,RBREW.CO,ROYAL UNIBREW,Biens de consommation de base,0.01912,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
LATO B,LATO-B.ST,LATOUR INVESTMENT CLASS B,Industries,0.01896,Suède,Nasdaq Omx Nordic,SEK
ALLFG,ALLFG.AS,ALLFUNDS GROUP PLC,Finance,0.01884,Pays-Bas,Euronext Amsterdam,EUR
VZN,VZN.SW,VZ HOLDING AG,Finance,0.01868,Suisse,SIX Swiss Exchange,CHF
PAF,PAF.L,PAN AFRICAN RESOURCES PLC,Matériaux,0.01867,Royaume-Uni,London Stock Exchange,GBP
BWY,BWY.L,BELLWAY PLC,Biens de consommation cycliques,0.01861,Royaume-Uni,London Stock Exchange,GBP
TPE,TPE.WA,TAURON POLSKA ENERGIA SA,Services publics,0.01855,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
HOLM B,HOLM-B.ST,HOLMEN CLASS B,Matériaux,0.01854,Suède,Nasdaq Omx Nordic,SEK
FRA,FRA.DE,FRAPORT FRANKFURT AIRPORT SERVICES,Industries,0.01851,Allemagne,Xetra,EUR
KMAR,KMAR.OL,KONGSBERG MARITIME,Industries,0.01851,Norvège,Oslo Bors Asa,NOK
ING,ING.WA,ING BANK SLASKI SA,Finance,0.0185,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
FPE3,FPE3.DE,FUCHS PREF,Matériaux,0.01848,Allemagne,Xetra,EUR
ROCK B,ROCK-B.CO,ROCKWOOL CLASS B,Industries,0.01836,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
QLT,QLT.L,QUILTER PLC,Finance,0.01832,Royaume-Uni,London Stock Exchange,GBP
TBCG,TBCG.L,TBC BANK GROUP PLC,Finance,0.01827,Royaume-Uni,London Stock Exchange,GBP
REY,REY.MI,REPLY,Technologie de l'information,0.01824,Italie,Borsa Italiana,EUR
JD.,JD..L,JD SPORTS FASHION PLC,Biens de consommation cycliques,0.01817,Royaume-Uni,London Stock Exchange,GBP
SDF,SDF.DE,K+S N AG,Matériaux,0.018,Allemagne,Xetra,EUR
PHP,PHP.L,PRIMARY HEALTH PROPERTIES REIT PLC,Immobilier,0.01789,Royaume-Uni,London Stock Exchange,GBP
SFSN,SFSN.SW,SFS GROUP AG,Industries,0.01755,Suisse,SIX Swiss Exchange,CHF
SHC,SHC.L,SHAFTESBURY CAPITAL PLC,Immobilier,0.01753,Royaume-Uni,London Stock Exchange,GBP
DLG,DLG.MI,DELONGHI,Biens de consommation cycliques,0.0175,Italie,Borsa Italiana,EUR
MTO,MTO.L,MITIE GROUP PLC,Industries,0.01737,Royaume-Uni,London Stock Exchange,GBP
NEXI,NEXI.MI,NEXI,Finance,0.01712,Italie,Borsa Italiana,EUR
THULE,THULE.ST,THULE GROUP,Biens de consommation cycliques,0.01675,Suède,Nasdaq Omx Nordic,SEK
DKSH,DKSH.SW,DKSH HOLDING AG,Industries,0.01671,Suisse,SIX Swiss Exchange,CHF
MF,MF.PA,WENDEL,Finance,0.01615,France,Nyse Euronext - Euronext Paris,EUR
INW,INW.MI,INFRASTRUTTURE WIRELESS ITALIANE,La communication,0.0158,Italie,Borsa Italiana,EUR
PUIG,PUIG.MC,PUIG BRANDS SA CLASS B,Biens de consommation de base,0.01576,Espagne,Bolsa De Madrid,EUR
AMV0,AMV0.DE,AUMOVIO N,Biens de consommation cycliques,0.01575,Allemagne,Xetra,EUR
KEMIRA,KEMIRA.HE,KEMIRA,Matériaux,0.01565,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
VID,VID.MC,VIDRALA SA,Matériaux,0.01544,Espagne,Bolsa De Madrid,EUR
BPT,BPT.L,BRIDGEPOINT GROUP PLC,Finance,0.01539,Royaume-Uni,London Stock Exchange,GBP
HOC,HOC.L,HOCHSCHILD MINING PLC,Matériaux,0.01519,Royaume-Uni,London Stock Exchange,GBP
SOP,SOP.PA,SOPRA STERIA GROUP,Technologie de l'information,0.01506,France,Nyse Euronext - Euronext Paris,EUR
HIAB,HIAB.HE,HIAB CORPORATION CLASS B,Industries,0.01493,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
BYG,BYG.L,BIG YELLOW GROUP PLC,Immobilier,0.01474,Royaume-Uni,London Stock Exchange,GBP
WIHL,WIHL.ST,WIHLBORGS FASTIGHETER,Immobilier,0.01465,Suède,Nasdaq Omx Nordic,SEK
BME,BME.L,B&M EUROPEAN VALUE RETAIL PLC,Biens de consommation cycliques,0.0146,Royaume-Uni,London Stock Exchange,GBP
BUCN,BUCN.SW,BUCHER INDUSTRIES AG,Industries,0.01456,Suisse,SIX Swiss Exchange,CHF
BAKKA,BAKKA.OL,BAKKAFROST,Biens de consommation de base,0.01455,Norvège,Oslo Bors Asa,NOK
CAMX,CAMX.ST,CAMURUS,Santé,0.01451,Suède,Nasdaq Omx Nordic,SEK
DLN,DLN.L,DERWENT LONDON REIT PLC,Immobilier,0.01451,Royaume-Uni,London Stock Exchange,GBP
BAVA,BAVA.CO,BAVARIAN NORDIC,Santé,0.01434,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
CDI,CDI.PA,CHRISTIAN DIOR,Biens de consommation cycliques,0.01366,France,Nyse Euronext - Euronext Paris,EUR
AMBU B,AMBU-B.CO,AMBU CLASS B,Santé,0.01331,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
WALL B,WALL-B.ST,WALLENSTAM CLASS B,Immobilier,0.01318,Suède,Nasdaq Omx Nordic,SEK
EZJ,EZJ.L,EASYJET PLC,Industries,0.01242,Royaume-Uni,London Stock Exchange,GBP
SQN,SQN.SW,SWISSQUOTE GROUP HOLDING SA,Finance,0,Suisse,SIX Swiss Exchange,CHF
LEGGR,LEGGR.DE,LEG IMMOBILIEN COUPON,Immobilier,0,Allemagne,Xetra,EUR
--,--.PA,ESSILORLUXOTTICA SA COUPON,Santé,0,France,Nyse Euronext - Euronext Paris,EUR
