ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
ML,ML.PA,MICHELIN,Biens de consommation cycliques,0.16478,France,Nyse Euronext - Euronext Paris,EUR
BESI,BESI.AS,BE SEMICONDUCTOR INDUSTRIES NV,Technologie de l'information,0.16457,Pays-Bas,Euronext Amsterdam,EUR
LDO,LDO.MI,LEONARDO FINMECCANICA SPA,Industries,0.16448,Italie,Borsa Italiana,EUR
PKO,PKO.WA,POWSZECHNA KASA OSZCZEDNOSCI BANK,Finance,0.16205,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
ABN,ABN.AS,ABN AMRO BANK NV,Finance,0.16096,Pays-Bas,Euronext Amsterdam,EUR
BMW,BMW.DE,BMW AG,Biens de consommation cycliques,0.16013,Allemagne,Xetra,EUR
PGHN,PGHN.SW,PARTNERS GROUP HOLDING AG,Finance,0.15881,Suisse,SIX Swiss Exchange,CHF
A5G,A5G.IR,AIB GROUP PLC,Finance,0.15745,Irlande,Irish Stock Exchange - All Market,EUR
RYA,RYA.IR,RYANAIR HOLDINGS PLC,Industries,0.15654,Irlande,Irish Stock Exchange - All Market,EUR
HLMA,HLMA.L,HALMA PLC,Technologie de l'information,0.15572,Royaume-Uni,London Stock Exchange,GBP
IHG,IHG.L,INTERCONTINENTAL HOTELS GROUP PLC,Biens de consommation cycliques,0.1553,Royaume-Uni,London Stock Exchange,USD
BMPS,BMPS.MI,BANCA MONTE DEI PASCHI DI SIENA SP,Finance,0.15514,Italie,Borsa Italiana,EUR
SHB A,SHB-A.ST,SVENSKA HANDELSBANKEN-A SHS,Finance,0.15355,Suède,Nasdaq Omx Nordic,SEK
KNEBV,KNEBV.HE,KONE,Industries,0.15317,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
HEIA,HEIA.AS,HEINEKEN NV,Biens de consommation de base,0.15289,Pays-Bas,Euronext Amsterdam,EUR
PUB,PUB.PA,PUBLICIS GROUPE SA,La communication,0.1514,France,Nyse Euronext - Euronext Paris,EUR
PKN,PKN.WA,ORLEN SA,Energie,0.1484,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
GEBN,GEBN.SW,GEBERIT AG,Industries,0.14667,Suisse,SIX Swiss Exchange,CHF
SCMN,SCMN.SW,SWISSCOM AG,La communication,0.14438,Suisse,SIX Swiss Exchange,CHF
VOW3,VOW3.DE,VOLKSWAGEN NON-VOTING PREF AG,Biens de consommation cycliques,0.14389,Allemagne,Xetra,EUR
NN,NN.AS,NN GROUP NV,Finance,0.14274,Pays-Bas,Euronext Amsterdam,EUR
